input,output
"question: what is the proposition in TARGETCASE? context: [246] This is a different situation than that which existed in relation to the '453 patent. In that case, memantine was already being used for the treatment of Alzheimer's disease, although no one understood its mechanism of action or why it worked. Based upon the reasoning in <TARGETCASE> , I found that the discovery of memantine's mechanism of action was not novel, and that the '453 patent was anticipated by prior art teaching the use of memantine for the treatment of Alzheimer's disease. ","The discovery of a drug's mechanism of action is not novel if the drug is already being used for the treatment of a disease, even if its mechanism of action was previously unknown."
"question: what is the proposition in TARGETCASE? context: [10] When reviewing a credibility finding, it must be kept in mind that an administrative tribunal is in an advantageous position for assessing the credibility of witnesses, accordingly, the Court must show deference when reviewing findings of this kind ( <REFERENCE> (TD) at paras 7 to 9). The Court will only intervene in a credibility finding if the decision-maker based its decision on ""an erroneous finding of fact made in a perverse or capricious manner or if it made its decision without regard to the material before it"" ( <TARGETCASE> , above). Analysis ",The Court will only intervene in a credibility finding if the decision-maker based its decision on an erroneous finding of fact made in a perverse or capricious manner or if it made its decision without regard to the material before it.
"question: what is the proposition in TARGETCASE? context: ""I am accordingly of the opinion that it was open to Mr. Justice Jackett in the circumstances of this case to substitute his conclusion for that of the Registrar and I do not think that he was precluded from doing so by the decision of this court in <REFERENCE> before the Registrar, the courts have accorded reduced deference to the decision of the Registrar, and have characterized the appeal proceeding as a trial de novo. In the case at bar, the parties are relying on additional evidence that was not before the Registrar. The role of this court, in such circumstances, was described by Justice Rouleau of the Federal Court, Trial Division, in <REFERENCE> C.P.R.(3d) 205 (T.D.), at pp. 208-209 (C.P.R.): ""At the outset I should note that this court has consistently said that a decision of the Registrar as to whether two marks are confusing is to be given great weight and not to be lightly set aside: <REFERENCE> . However, where the court has the benefit of considering evidence not before the Registrar, the discretion of the court will be totally unfettered by the previous decision of the Registrar and, in essence, the appeal functions as a trial de novo: <TARGETCASE> ; 32 F.T.R. 274; 19 A.C.W.S.(3d) 911 (T.D.).","Where the court has the benefit of considering evidence not before the Registrar, the discretion of the court will be totally unfettered by the previous decision of the Registrar and, in essence, the appeal functions as a trial de novo."
"question: what is the proposition in TARGETCASE? context: [48] Duplicitous proceedings, which would be the result of a stay in the present matter, are always strong grounds for refusing a stay: see for example <TARGETCASE> a motion for a stay in part because of duplicity of litigation and thus the substantial risk of conflicting judgments leading to prejudice. In the latter, The Pine Hill , Mr. Justice McNair noted that duplicate proceedings might not only result in inconsistent findings of fact by two different tribunals, but also would be a waste of time and money (page 151). These concerns are very real when applied to the present situation, for I have found that Tokyo Marine Co. Ltd. is not entitled to a stay in order to arbitrate in London, but must litigate in Canada: it is clearly much more appropriate to deny a stay to Fontaine Navigation S.A. than to allow it to run a duplicate set of proceedings in Japan. <REFERENCE> ","Duplicitous proceedings are strong grounds for refusing a stay due to the risk of conflicting judgments, inconsistent findings of fact by different tribunals, and waste of time and money."
"question: what is the proposition in TARGETCASE? context: [39] <TARGETCASE> Justice Gagné distinguished the facts of that case from those established in <REFERENCE> . The applicant in <REFERENCE> had approached a crew member of the MV Sun Sea and asked to cook for the crew in exchange for extra food. He was also assigned a daily duty of watch keeping. This was in contrast to the facts in <REFERENCE> where the panel had found that the applicant had boarded the ship knowing that he would be a crew member. Similarly, in the present matter the male applicant had not been a crew member at the outset of the voyage. ","An individual who boards a ship without the initial intention of being a crew member, but later takes on duties, is distinguished from someone who boards with the knowledge of being a crew member."
"question: what is the proposition in TARGETCASE? context: [30] Questions of procedural fairness are evaluated on a standard of correctness (see <REFERENCE> <REFERENCE> , at paragraph 129). <TARGETCASE> ",Questions of procedural fairness are evaluated on a standard of correctness.
"question: what is the proposition in TARGETCASE? context: [4] On the basis of the evidence before the Court, on July 31, 2000 I issued an order in this matter (""order""). It is the alleged breach of this order which gives rise to this contempt proceeding. Paragraph one of the order was as follows: <REFERENCE> ""1. Paul Chun, All Bags Discount Handbags Ltd. and All Bags Discount (Brand Name Specialist) (together 'these defendants') are hereby restrained and enjoined from, until the trial of this action or further Order of this Court: <REFERENCE> (i) offering for sale, selling, importing, distributing, manufacturing, printing, advertising, promoting, shipping, storing or displaying any counterfeit VUITTON Items in association with any of the VUITTON Registered Trademarks, namely: <REFERENCE> <REFERENCE> Trademark <REFERENCE> Registration No. <REFERENCE> <REFERENCE> LV & Design <REFERENCE> 352,916 <TARGETCASE> <REFERENCE> LV Logo <REFERENCE> 326,814 <REFERENCE> <REFERENCE> LV Logo <REFERENCE> 287,463 <REFERENCE> <REFERENCE> Keepall Bag <REFERENCE> 407,881 <REFERENCE> <REFERENCE> Noe Bag <REFERENCE> 407,882 <REFERENCE> <REFERENCE>",These defendants are restrained and enjoined from dealing in any counterfeit VUITTON Items in association with any of the VUITTON Registered Trademarks.
"question: what is the proposition in TARGETCASE? context: [22] <TARGETCASE> of her reasons: ""... in fulfilling its statutory responsibility to investigate complaints of discrimination, investigations carried out by the Commission must be both neutral and thorough. Insofar as the requirement of thoroughness is concerned, the Court in Slattery stated that: 'Deference must be given to administrative decision-makers to assess the probative value of evidence and to decide to further investigate or not to further investigate accordingly. It should only be where unreasonable omissions are made, for example where an investigator failed to investigate obviously crucial evidence , that judicial review is warranted.' [emphasis added] ""Cases decided after Slattery have established that a decision to dismiss a complaint made by the Commission in reliance upon a deficient investigation will itself be deficient as '[i]f the reports were defective, it follows that the Commission was not in possession of sufficient relevant information upon which it could properly exercise its discretion': ..."" (Citations omitted, the references to "" Slattery "" are to <REFERENCE> (T.D.)) ","Investigations carried out by the Commission must be both neutral and thorough, with deference given to administrative decision-makers to assess the probative value of evidence and decide to further investigate or not. Unreasonable omissions, such as failing to investigate crucial evidence, warrant judicial review. A decision to dismiss a complaint made by the Commission in reliance upon a deficient investigation will itself be deficient."
"question: what is the proposition in TARGETCASE? context: [308] Given that this case involves the detainees' right to freedom from torture, the applicants say that fundamental human rights norms are at stake. This, the applicants argue, gives rise to the ""fundamental human rights exception"" to the general rule against the extraterritorial application of the Charter , an exception that the applicants submit was explicitly recognized by the majority decision in <TARGETCASE> . ","The ""fundamental human rights exception"" to the general rule against the extraterritorial application of the Charter is recognized when fundamental human rights norms are at stake."
"question: what is the proposition in TARGETCASE? context: [21] Mr. Rogan's substantive rights are governed by the version of the Citizenship Act in effect when he obtained his Canadian citizenship on November 14, 1997: Canada (Minister of Citizenship and <TARGETCASE> at paras. 116, 119 and 121; Canada (Minister of Citizenship and <REFERENCE> ",Mr. Rogan's substantive rights are governed by the version of the Citizenship Act in effect when he obtained his Canadian citizenship.
"question: what is the proposition in TARGETCASE? context: [1] Shore, J. [Translation]: The relevant excerpts from the latest report of the United Nations High Commission for Refugees (UNHCR), entitled UNHCR Eligibility Guidelines for Assessing the International Protection Needs of Asylum-Seekers from Sri Lanka, HRC/EG/SLK/10/03, which was published in July 2010, read as follows: <TARGETCASE> Given the cessation of hostilities, Sri Lankans originating from the north of the country are no longer in need of international protection under broader refugee criteria or complementary forms of protection solely on the basis of risk of indiscriminate harm. In light of the improved human rights and security situation in Sri Lanka, there is no longer a need for group-based protection mechanisms or for a presumption of eligibility for Sri Lankans of Tamil ethnicity originating from the north of the country. < REFERENCE> At the time of writing, the security situation in Sri Lanka had significantly stabilized, paving the way for a lasting solution for hundreds of thousands of internally displaced persons (IDPs) in the country's north and east.",Sri Lankans originating from the north of the country are no longer in need of international protection under broader refugee criteria or complementary forms of protection solely on the basis of risk of indiscriminate harm.
"question: what is the proposition in TARGETCASE? context: [51] The Respondent points out that the Officer's reasons refer to the <TARGETCASE> case as having informed her analysis, in particular the included quote from <REFERENCE> (FCTD), which stated: I return to my observation that the evidence suggests that the applicants would be a welcome addition to the Canadian community. Unfortunately, that is not the test. To make it the test is to make the H & C process an ex post facto screening device which supplants the screening process contained in the Immigration Act and Regulations . This would encourage gambling on refugee claims in the belief that if someone can stay in Canada long enough to demonstrate that they are the kind of persons Canada wants, they would be allowed to stay. The H & C process is not designed to eliminate hardship; it is designed to provide relief from unusual, undeserved or disproportionate hardship. There is no doubt that the refusal of an applicants' H & C application will cause hardship but, given the circumstances of the applicants' presence in Canada and the state of the record, it is not unusual, undeserved or disproportionate hardship. . . . ","The H & C process is not designed to eliminate hardship; it is designed to provide relief from unusual, undeserved or disproportionate hardship."
question: what is the proposition in TARGETCASE? context: [43] Actions have been determined to be more appropriate than judicial review where complex factual issues are required to be resolved (see <REFERENCE> ; 241 N.R. 198 ( <TARGETCASE> ; 289 A.R. 47 (Q.B.)). ,Actions are more appropriate than judicial review where complex factual issues are required to be resolved.
"question: what is the proposition in TARGETCASE? context: [29] <TARGETCASE> (FCA), the Federal Court of Appeal held that it is an error for the RPD to ignore documentary evidence and important aspects of a claimant's testimony while focusing on inconsistencies that are not central to the claim. Further, a finding that there are minor inconsistencies in the Applicant's story or that parts of her story are exaggerated is not enough to reject all of the evidence ( <REFERENCE> (FCA)). ","It is an error for the RPD to ignore documentary evidence and important aspects of a claimant's testimony while focusing on inconsistencies that are not central to the claim, and minor inconsistencies or exaggerations in the applicant's story are not enough to reject all of the evidence."
"question: what is the proposition in TARGETCASE? context: [14] As is apparent from the forgoing provisions (and from the FDA Regulations in their entirety), the role of the Minister of Health in issuing an NOC under these Regulations is to assess the safety and efficacy of drugs to be sold in Canada. Indeed, that this is the purpose of these provisions in the FDA Regulations has been confirmed by the case law (see, e.g., <REFERENCE> [ Biolyse ] at para 13; <REFERENCE> [ <REFERENCE> ] at para 12; <TARGETCASE> CCLT (3d) 52 at para 8; <REFERENCE> CPR (4th) 423 at para 23). B. The PMNOC Regulations ",The role of the Minister of Health in issuing an NOC under the FDA Regulations is to assess the safety and efficacy of drugs to be sold in Canada.
"question: what is the proposition in TARGETCASE? context: [1] Campbell, J. : The present Application is a judicial review of a decision of a Member of the Immigration Division (the ""Member"") dated November 4, 2004, wherein the Applicant was found to be inadmissible pursuant to the combined application of s.34(1)(f) and s.34(1)(c) of the Immigration and Refugee Protection Act (the <TARGETCASE> ). ",An applicant can be found inadmissible pursuant to the combined application of s.34(1)(f) and s.34(1)(c) of the Immigration and Refugee Protection Act.
"question: what is the proposition in TARGETCASE? context: [33] There have been many challenges to paragraph 117(9)(d) of the Regulations and many recent decisions have upheld the validity of the paragraph and confirmed that the Immigration Appeal Division did not have jurisdiction to consider H&C factors in this type of situation. In fact, in most of the cases, this Court has found that the applicant should apply for consideration on H&C grounds through section 25 of IRPA rather than rely on a family class sponsorship appeal. (See for example: <REFERENCE> ; 257 F.T.R. 290; 2004 FC 1276; <TARGETCASE> ; 2005 FC 184; <REFERENCE> ; 2005 FC 854) <REFERENCE> ","The Immigration Appeal Division does not have jurisdiction to consider H&C factors in situations related to paragraph 117(9)(d) of the Regulations, and applicants should apply for consideration on H&C grounds through section 25 of IRPA rather than rely on a family class sponsorship appeal."
"question: what is the proposition in TARGETCASE? context: [23] Similarly, Justice Tremblay-Lamer <REFERENCE> <REFERENCE> (T.D.), wrote the following at paragraph 83 as follows: <REFERENCE> ""83 Sections 14.01, 14.02 and 14.03 of the BIA are part of a set of provisions whose essential purpose is the supervision of trustees' administration and conduct. In authorizing such supervision by the Superintendent, Parliament's primary aim is to protect third parties, whether they be debtors or creditors. The nature of the role played by trustees makes the existence of such rules necessary. Trustees act as fiduciaries and as such, as we have seen, they are responsible for administering property owned by others. For this reason, the duties and obligations of trustees in bankruptcy are highly regulated. Such trustees are subject to constant audits, by means of which the Superintendent assures himself of their integrity. <TARGETCASE> ","The essential purpose of Sections 14.01, 14.02 and 14.03 of the BIA is the supervision of trustees' administration and conduct, aimed at protecting third parties, and trustees are subject to constant audits to assure their integrity."
"question: what is the proposition in TARGETCASE? context: [10] As already mentioned, the Income Tax Act does not provide a definition for ""manufacturing"" or ""processing"". There is, however, extensive jurisprudence in the matter. It has been held that the technical meaning attributed to the word processing by expert testimony ought to be rejected in favour of the ordinary, or dictionary meaning of the word ( <TARGETCASE> , aff'd by S.C.C. without written reasons). The following dictionary definition of ""process"" has been quoted with approval (Id., p. 416): ""to subject to a particular method, system or technique of preparation, handling or other treatment designed to effect a particular result"" (Webster's Third New International Dictionary (1964)). ","The technical meaning of the word ""processing"" should be rejected in favour of its ordinary, or dictionary meaning."
"question: what is the proposition in TARGETCASE? context: (2) An arbitral award may be set aside by the court specified in article 6 only if: <REFERENCE> (a) the party making the application furnishes proof that: <REFERENCE> (i) a party to the arbitration agreement referred to in article 7 was under some incapacity; or the said agreement is not valid under the law to which the parties have subjected it or, failing any indication thereon, under the law of Canada ; or <TARGETCASE> (ii) the party making the application was not given proper notice of the appointment of an arbitrator or of the arbitral proceedings or was otherwise unable to present his case; or <REFERENCE> (iii) the award deals with a dispute not contemplated by or not falling within the terms of the submission to arbitration, or contains decisions on matters beyond the scope of the submission to arbitration, provided that, if the decisions on matters submitted to arbitration can be separated from those not so submitted, only that part of the award which contains decisions on matters not submitted to arbitration may be set aside; or <REFERENCE> (iv) the composition of the arbitral tribunal or the arbitral procedure was not in accordance with the agreement of the parties, unless such agreement was in conflict with a provision of this Code from which the parties cannot derogate, or, failing such agreement, was not in accordance with this Code ; or <REFERENCE> (b) the court finds that: <REFERENCE> (i) the subject-matter of the dispute is not capable of settlement by",An arbitral award may be set aside if the party making the application was not given proper notice of the appointment of an arbitrator or of the arbitral proceedings or was otherwise unable to present his case.
"question: what is the proposition in TARGETCASE? context: [85] The Board proceeded to consider the jurisprudence, including the decisions of Justice Mosley in <TARGETCASE> , supra, and Justice Harrington in <REFERENCE> , supra. At paragraph 93 of its reasons, the Board concluded that if a dosage is claimed as part of the patent monopoly, it must not be in the form of a range. It wrote: 93 From this limited jurisprudence we may take that, if a dosage is claimed as part of the patent monopoly it must not be in the form of a range, such that in order to determine the appropriate dosage for a particular patient, specific knowledge of that patient is required, and judgement is required based on that knowledge, matters which fall within the skills of the physician, and are therefore unpatentable. As Mr. Justice Harrington put it, the dosage must be in ""vendible product"" form, and not in the form of a guideline to physicians. This would seem to accord with the previous quote from Mr. Justice Binnie in <REFERENCE> . If what is claimed can no longer be considered a ""commercial offering"", then it may fall within the exclusion. This is of course, not to say that a claim, in order to be patentable, must be directed to a ""vendible product"" or a ""commercial offering"". The above guidance is restricted to the case where a dosage range is found in a claim. ","If a dosage is claimed as part of the patent monopoly, it must not be in the form of a range, but rather in 'vendible product' form, and not as a guideline to physicians."
"question: what is the proposition in TARGETCASE? context: [10] As the Board noted, in <TARGETCASE> the Federal Court of Appeal held that ""the 'presumption' that a claimant's sworn testimony is true [...] may be rebutted by the failure of documentary evidence to mention what one would normally expect it to mention."" In these circumstances, it was not unreasonable, much less patently so, for the Board to draw an adverse inference from the failure of the documentary evidence to refer to cases of forced marriage in circumstances such as those described by Ms. Kahiga. ",The 'presumption' that a claimant's sworn testimony is true may be rebutted by the failure of documentary evidence to mention what one would normally expect it to mention.
"question: what is the proposition in TARGETCASE? context: (i) the person is unable or, because of that risk, unwilling to avail themself of the protection of that country, <REFERENCE> (ii) the risk would be faced by the person in every part of that country and is not faced generally by other individuals in or from that country, <REFERENCE> (iii) the risk is not inherent or incidental to lawful sanctions, unless imposed in disregard of accepted international standards, and <REFERENCE> (iv) the risk is not caused by the inability of that country to provide adequate health or medical care. <REFERENCE> 112(3) Refugee protection may not result from an application for protection if the person <REFERENCE> (a) is determined to be inadmissible on grounds of security, violating human or international rights or organized criminality; <REFERENCE> (b) is determined to be inadmissible on grounds of serious criminality with respect to a conviction in Canada punished by a term of imprisonment of at least two years or with respect to a conviction outside Canada for an offence that, if committed in Canada, would constitute an offence under an Act of Parliament punishable by a maximum term of imprisonment of at least 10 years; <REFERENCE> (c) made a claim to refugee protection that was rejected on the basis of section F of Article 1 of the Refugee Convention; or <TARGETCASE> (d) is named in a certificate referred to in subsection 77(1).",Refugee protection may not result from an application for protection if the person is named in a certificate referred to in subsection 77(1).
"question: what is the proposition in TARGETCASE? context: [20] He went on to cite <TARGETCASE> (F.C.A.), and with respect to that decision wrote: ""Heald, J.A., reviewed the jurisprudence in the matter and concluded that the Trial Division was without jurisdiction to hear the appeal. He said (p. 140) that 'this jurisprudence makes it clear that the court will not review the myriad of decisions or orders customarily rendered on matters which normally arise in the course of a proceeding prior to that final decision'."" ",The court will not review the myriad of decisions or orders customarily rendered on matters which normally arise in the course of a proceeding prior to that final decision.
"question: what is the proposition in TARGETCASE? context: [13] Counsel for the defendant argues that these question should not have been ordered to be answered because they employ terminology not used by Hallmark. The decisions in <TARGETCASE> ; 12 C.I.P.R. 209 (F.C.T.D. Protho.), <REFERENCE> (F.C.T.D.) and <REFERENCE> (F.C.T.D.), state that it is not appropriate to ask a person being examined for discovery questions calling for that person's understanding or interpretation of the patent. <REFERENCE> ",It is not appropriate to ask a person being examined for discovery questions calling for that person's understanding or interpretation of the patent.
"question: what is the proposition in TARGETCASE? context: [54] The prothonotary did not ask or consider whether the questions or issues were ""relevant enough"". However, if she had, this would not necessarily be an error. The degree of relevance of a question is an appropriate consideration ( TARGETCASE). Even the train of inquiry approach does not provide a vehicle to permit remotely potentially relevant questions to ride along. As the prothonotary noted, not every question deserves an answer. ",The degree of relevance of a question is an appropriate consideration.
"question: what is the proposition in TARGETCASE? context: [19] In the case of <REFERENCE> the Supreme Court of Canada held that ""[w] here the question is one of fact, discretion or policy, deference will usually apply automatically"" ( <REFERENCE> at para. 53). When a court determines that a decision deserves deference, the court will apply the standard of reasonableness. According to <TARGETCASE> , when a court applies the reasonableness standard, intervention is warranted if a decision is outside the realm of reasonable outcomes, is not intelligible, is not supported by evidence, or is not defensible in law and on the facts ( <REFERENCE> at para. 47). VIII. Summary of the Parties' Positions Issue 1: Did the IAD fail to observe the principles of natural justice by refusing to reinstate the appeal? ","When a court applies the reasonableness standard, intervention is warranted if a decision is outside the realm of reasonable outcomes, is not intelligible, is not supported by evidence, or is not defensible in law and on the facts."
"question: what is the proposition in TARGETCASE? context: [12] Both parties referred me to the decision of the Supreme Court of Canada in <TARGETCASE> N.B.R.(2d) 207; 674 A.P.R. 207, as instructive on the question of the meaning of reasonableness simpliciter. Justice Iacobucci, writing in a unanimous decision of the Court in that case, considered what the reasonableness standard requires of a reviewing court. Helpfully, he pointed out a number of characteristics of this standard and how the Court should conduct its ""somewhat probing analysis"". For purposes of this application and the issues raised by the Applicant, I view the following statement of Justice Iacobucci to be the most instructive: ""A decision will be unreasonable only if there is no line of analysis within the given reasons that could reasonably lead the tribunal from the evidence before it to the conclusion at which it arrived."" (para. 55) ",A decision will be unreasonable only if there is no line of analysis within the given reasons that could reasonably lead the tribunal from the evidence before it to the conclusion at which it arrived.
"question: what is the proposition in TARGETCASE? context: [24] Furthermore, the Respondent argues, the 20 October 2010 paper screening was not a selection decision. It was tentative, not conclusive. It outlined the points that the Applicant might receive based on the selection criteria, pending the receipt of further information. For example, three points were preliminarily allocated for adaptability, but this was subject to confirmation of the Applicant's wife's educational credentials. <TARGETCASE> , above, at para 28 confirmed that a paper screening is not a selection decision as envisioned in subsection 87.4(1). OB 442 also confirms that a preliminary review of the file does not qualify as a selection decision pursuant to paragraph 87.4(1), and that no decision could have been made when further information had been requested but not assessed. ","A paper screening is not a selection decision as envisioned in subsection 87.4(1), and a preliminary review of the file does not qualify as a selection decision pursuant to paragraph 87.4(1)."
"question: what is the proposition in TARGETCASE? context: [32] As noted by the adjudicator, in <REFERENCE> , at paras 253-256, the Ontario Superior Court of Justice awarded aggravated damages due to loss suffered from a damaged reputation: <REFERENCE> 253 Wallace held that where ""bad faith"" or unfair conduct of the employer causes intangible losses such as humiliation, embarrassment, damage to self-esteem, these losses should be compensated for even if there is no consequent tangible loss. <TARGETCASE> 254 The intangible damage flowing from wrongful actions of the employer in the case before me resulted in humiliation, embarrassment, loss of self-esteem and loss of enjoyment of social activities. Unlike the routine case, these losses were not temporary. These losses have continued for the better part of 4 years up to the present. I find that the losses will be diminished by this judgment but that there will be a lingering loss. As the plaintiff has already experienced, ""clouds"" on one's character are difficult to eradicate. <REFERENCE> 255 I assess these losses at $50,000. <REFERENCE> ","Bad faith"" or unfair conduct of the employer causing intangible losses such as humiliation, embarrassment, damage to self-esteem should be compensated for, even if there is no consequent tangible loss."
question: what is the proposition in TARGETCASE? context: [12] The officer further provided inadequate reasons for her decision as she failed to provide an explanation as to why the issue of similarity between the content of the employer's letter with what is contained in the NOC is relevant. <REFERENCE> Respondent's Written Submissions <TARGETCASE> ,The officer provided inadequate reasons for her decision by failing to explain why the similarity between the content of the employer's letter and the NOC is relevant.
